year,jan,feb,mar,april,may,june,july,aug,sept,oct,nov,dec,total,post_monsoon,summer,winter,monsoon,classification,category
1901,0.0,-0.5797692290241545,0.0,1.869065995013039,1.818838387286812,0.49221241892340234,0.4600775897874831,0.3325539905156434,-1.2753788413975777,-0.8364921629579619,-0.6983502149263773,-0.5853889018316827,0.027046287415679385,-0.9263778971988627,1.9036229036413983,-0.8086405688026457,0.18481872099376373,1,2
1902,0.0,-0.5797692290241545,0.0,-0.5781438617490843,-0.6199549380093764,-1.080005606280334,-1.2259634614730233,0.4209992885556163,1.9903601626045844,-0.5526236379171514,-0.6456042867958998,1.796575508108375,-0.39007083729338776,-0.6375950616444777,-0.6460557609965623,0.9601277210866757,-0.27514429045475214,1,1
1903,0.0,-0.5797692290241545,0.0,-0.5781438617490843,1.818838387286812,-0.5881800410554546,0.5095350842737807,0.5680312990496073,-0.22807917898189933,1.400632134723708,-0.6983502149263773,-0.5853889018316827,0.6618843847940119,1.291742559386355,1.787425077461933,-0.8086405688026457,0.18869113006485974,1,3
1904,0.0,-0.5797692290241545,0.0,-0.5781438617490843,-0.7051201637454491,0.8219687677804566,-1.287606779830413,-1.1181244187233275,-1.1633220501668327,-0.4010974377639634,-0.6983502149263773,-0.5853889018316827,-1.368591702541072,-0.49468174708198204,-0.7310354691096125,-0.8086405688026457,-1.332714337865177,1,0
1905,0.0,1.7912039585162693,0.0,-0.5781438617490843,-0.7051201637454491,-1.5769460846759973,-0.6168200800254484,-1.2174445990345113,-0.7105986341587579,-0.8743632605614474,1.8299372224688821,-0.5853889018316827,-2.048921205329538,-0.6127818614119156,-0.7310354691096125,0.7206326590133588,-2.0352271436991476,0,0
1906,0.0,1.7912039585162693,0.0,-0.5781438617490843,-0.7051201637454491,-0.7851657708751327,0.16503166832615823,0.30797853761510036,-1.0423193051131967,-0.9837305061284163,-0.6983502149263773,-0.5853889018316827,-0.7357857061791784,-1.0723654855141596,-0.7310354691096125,0.7206326590133588,-0.5554485523189606,1,0
1907,0.0,1.7912039585162693,0.0,1.869065995013039,-0.7051201637454491,0.4560331867970339,2.0884733266286073,0.001892991224989246,-1.3495321667562459,-0.8671880728544178,-0.6983502149263773,-0.5853889018316827,0.6596272923483704,-0.956813052610381,-0.6148376429301472,0.7206326590133588,0.9154888244626697,1,3
1908,0.0,1.7912039585162693,0.0,-0.5781438617490843,-0.621136020368304,-0.7357594514189532,0.4920941932762305,-0.07447966060041795,-0.486716824129631,-0.6905727768856439,-0.6983502149263773,-0.5853889018316827,-0.47360519144770646,-0.7816980617535186,-0.6472342705731138,0.7206326590133588,-0.3147148818052753,1,1
1909,0.0,-0.5797692290241545,0.0,1.869065995013039,-0.7051201637454491,0.5046743274140093,0.7928385812980894,-0.5435528739240194,1.095384839761559,-0.9856884550372446,-0.6983502149263773,-0.5853889018316827,0.5816550864367729,-1.0743068021107032,-0.6148376429301472,-0.8086405688026457,0.8709793943426577,1,2
1910,0.0,-0.5797692290241545,0.0,-0.5781438617490843,0.026046949608921663,-0.19902010672752832,-1.645340801970173,1.2747982498811468,-0.2290454868399678,0.2153159008733739,-0.1407949650034428,-0.5853889018316827,-0.5353306126568869,0.19393229920089883,-0.001461076067192443,-0.8086405688026457,-0.5103411562497662,1,1
